#"Potential Energy (kJ/mole)","Speed (ns/day)"
-26024.386412540996,3.38
-26092.840299999712,3.36
-26223.28678749613,3.34
-26273.206775244296,3.32
-26252.995813856916,3.3
-25866.64872438326,3.27
-26415.47279604229,3.25
-26075.022204694986,3.23
-26294.99308319579,3.22
-25964.329596226475,3.2
-26020.455405341545,3.19
-26052.245389381907,3.18
-25999.67978650348,3.16
-26095.864301390175,3.14
-26362.03739642435,3.12
-26122.082412267453,3.1
-26394.784217402113,3.09
-26377.56474967283,3.08
-26435.20299011047,3.07
-25965.560058437826,3.06
-25920.549029286467,3.05
-26175.530373699337,3.04
-26279.607079272064,3.02
-26261.51447769619,3.01
-26223.38261624284,3
-25909.1912101008,2.99
-25896.46073137915,2.97
-25778.839084559448,2.95
-26385.256079111034,2.93
-26243.504375322464,2.91
-26286.65869840971,2.89
-26704.087662611124,2.87
-26247.422491982157,2.86
-26356.05302186592,2.85
-26214.505189826425,2.84
-26518.192339833884,2.84
-26439.0260591898,2.83
-26445.042634439822,2.82
-26427.390601309125,2.82
-25874.36103423119,2.83
-26329.084846496815,2.83
-25684.60415904156,2.84
-26064.69526268943,2.85
-26461.404044124443,2.85
-26612.460688302675,2.85
-26531.95365916754,2.86
-26191.12353191441,2.86
-26654.82207935371,2.86
-26518.785248981578,2.87
-26367.19269694642,2.87
-26318.862016876104,2.87
-26584.3771255098,2.87
-25991.97795149753,2.87
-26151.180937674195,2.88
-26124.59195670083,2.88
-26527.196945725213,2.88
-26064.142250730896,2.88
-26386.51042987311,2.89
-26282.800953143123,2.89
-26685.206743642306,2.9
-26394.480080674348,2.9
-26729.615347500134,2.9
-26881.753138114156,2.91
-26704.824594484988,2.91
-26639.106621317384,2.92
-26666.41497960704,2.92
-26704.328807190876,2.92
-26422.001273328107,2.92
-26481.156935766685,2.93
-26657.42957062898,2.93
-26437.025881054433,2.93
-26392.923436881872,2.94
-26338.731152295437,2.94
-26187.669507726896,2.94
-26692.72984642155,2.94
-26538.991366377057,2.94
-26424.440935193434,2.94
-26710.02787644801,2.94
-26654.21527070575,2.95
-26640.88513746195,2.95
-26643.56721928508,2.95
-26714.184911874094,2.95
-26744.880786776066,2.95
-26642.09804591885,2.96
-26591.402739568544,2.96
-26342.63999567635,2.96
-26086.47246734769,2.96
-26554.597467412044,2.96
-26314.139748619273,2.96
-26856.14509548439,2.96
-26845.150707462304,2.96
-26888.66243759101,2.97
-26588.405166986307,2.97
-26227.97653526103,2.97
-26649.131535461187,2.97
-26308.66636501237,2.97
-26209.48430576832,2.97
-26421.948989794437,2.97
-26949.799674340986,2.97
-26705.464335261295,2.98
-26693.24130555657,2.98
-26667.27532446702,2.98
-26180.94134504694,2.99
-26568.06876780559,2.99
-26592.134870145965,2.99
-26496.601847487094,2.99
-26661.52534185826,2.99
-26623.58787343597,3
-26385.712756296823,3
-26343.724172167447,3
-26092.8840286041,2.99
-26335.58489769575,2.98
-26192.234579417687,2.97
-26578.574837610442,2.96
-26669.190022961724,2.95
-26268.833014126965,2.93
-26797.53029655765,2.93
-26399.0193321792,2.92
-26388.686472385707,2.91
-26455.44931244497,2.89
-26210.09131144738,2.87
-26484.063879342666,2.86
-26789.223252085118,2.84
-26743.96118185445,2.83
-26427.679964598752,2.82
-26824.443482238115,2.8
-26604.314591280636,2.79
-26784.233993766593,2.78
