#"Potential Energy (kJ/mole)","Speed (ns/day)"
12732.724417458667,0.707
11712.244562670512,0.71
12013.004261750099,0.712
12002.611267297645,0.715
12059.050466192923,0.718
11460.252669594858,0.72
12148.274685255139,0.597
11972.761791867317,0.599
12086.12569891238,0.6
11906.350499883105,0.602
11883.875509146688,0.603
11663.710576623536,0.591
11709.394725932209,0.594
11972.798215512834,0.596
11581.642156198086,0.599
11747.55191079395,0.601
11178.562793487465,0.603
11484.693597128538,0.606
11360.1856064128,0.608
11494.65305992293,0.61
11648.675112050718,0.613
11320.19031618979,0.615
11694.717866183277,0.617
11606.50964925998,0.62
11313.258455381205,0.534
11654.897204924808,0.536
11638.772794323286,0.538
11630.617341600784,0.54
12013.314152965107,0.542
11932.323545996569,0.544
11456.156145302619,0.546
11642.994978303264,0.548
11672.238978000947,0.55
11587.839198192356,0.552
11346.515867014165,0.554
11224.071935695196,0.556
11152.008176162319,0.559
11544.685679477796,0.561
11210.015847340255,0.562
11390.121806921372,0.564
11250.956229813488,0.544
11731.389188422949,0.546
11654.33884162642,0.548
11172.222710881448,0.55
10908.49333948603,0.552
10813.818302154628,0.553
10730.653527770999,0.536
11079.78335966721,0.537
10771.10888492961,0.539
10943.677401537989,0.541
10709.75961117345,0.543
10911.65734772744,0.545
11100.873691703866,0.547
10823.636733248855,0.548
10678.310770483069,0.55
10551.757203339203,0.552
10966.026976334382,0.554
11277.344680033453,0.556
10672.899872018392,0.557
10541.66125535432,0.559
10719.235595473074,0.561
11146.87250157116,0.563
10465.288250870257,0.564
10290.838497917663,0.566
11052.409452106727,0.567
10647.48112065839,0.569
10890.971870379457,0.57
10668.565702565327,0.572
10865.316723760425,0.573
10866.86946890103,0.575
10579.07485204954,0.577
10480.615550692055,0.578
10731.435207660972,0.58
10532.289756202259,0.582
10037.683742177167,0.583
9933.844964706183,0.585
10259.42467046644,0.587
10174.355073986811,0.589
10353.573004961,0.59
10368.031671733508,0.592
10951.111241187267,0.594
10340.700474961457,0.595
10671.71900562656,0.597
10178.02409216628,0.599
10400.882640771717,0.6
9797.491294349817,0.602
10362.009985956262,0.604
10181.140475600874,0.605
10056.780506885974,0.607
10708.021741380555,0.609
10298.666159085893,0.61
9697.015295255751,0.612
10193.577109994141,0.614
9910.852441440296,0.615
10050.428948018132,0.617
10529.990696868052,0.618
10011.0310292328,0.62
10634.662681704165,0.622
10835.216643692784,0.623
10490.492933624151,0.625
10368.59409273697,0.627
10227.0317809244,0.628
9857.131945763198,0.63
9509.625348237147,0.631
10086.909542117603,0.633
9947.721939364608,0.634
9308.455040035977,0.636
9862.152939292388,0.638
9328.954698969086,0.639
9581.518800739384,0.641
9280.243594031122,0.642
9194.41009969421,0.644
9539.113671100567,0.645
9275.910840086672,0.647
9424.778046321328,0.649
9978.77547317524,0.65
9409.05380457114,0.652
9553.90816158021,0.653
9005.090273397054,0.655
9425.36721906739,0.656
9546.476506796986,0.658
9347.212767364552,0.659
9464.390482478033,0.661
9633.02891154651,0.662
9923.197254435254,0.664
9743.915933868808,0.665
9282.51267841422,0.667
9191.115855373439,0.668
9305.29533415789,0.67
9478.346928297411,0.671
9471.684875154286,0.673
9265.18653156389,0.674
9548.620108210409,0.676
9536.158972324894,0.677
8878.993116375426,0.678
9594.808782635537,0.68
9017.967399430821,0.681
9021.030602320712,0.683
9047.822409375905,0.684
9099.359809903468,0.686
9198.32859110221,0.687
9045.289434400675,0.688
9399.968766107311,0.69
9006.712728881714,0.691
8954.923491861678,0.693
8892.279167775378,0.694
8717.399695677625,0.695
8523.486631498658,0.697
8558.060111878262,0.698
8738.356012962864,0.7
8837.54289386658,0.701
8418.685684940523,0.702
8613.006955380719,0.704
8940.178367044671,0.705
8796.268482604548,0.707
8993.420635421618,0.708
9092.006482419958,0.709
8468.19721054248,0.711
8905.367020583657,0.712
8452.258983023567,0.714
8666.715819834622,0.715
8733.664754437897,0.716
8602.250405490911,0.718
8677.970786505557,0.719
8622.749420239266,0.72
8263.355788611902,0.722
8233.235452478944,0.723
8458.767830903627,0.724
8159.951941727293,0.726
8475.360484396871,0.727
7963.001661281323,0.728
7986.689863047861,0.73
8237.895301858996,0.731
8696.563104660461,0.732
8682.26886623109,0.734
8727.350885064214,0.735
8315.324161498422,0.736
8527.032444341738,0.738
8362.851226813884,0.739
8187.041953421576,0.74
8472.248138075509,0.742
8875.499611877782,0.743
8555.165181312219,0.744
9017.47921470792,0.746
8664.112917165756,0.747
8434.012740823033,0.748
8727.54490713714,0.75
8513.950325394904,0.751
8521.5010433944,0.752
8300.65758906423,0.753
8621.52646245014,0.755
8282.217460814278,0.756
8445.471435713134,0.757
8213.776972655058,0.759
8464.881029750937,0.76
8476.983015990012,0.761
8596.114178652952,0.763
8569.478384813116,0.764
7946.767545993211,0.765
7939.701184459027,0.767
8102.790774567351,0.768
8066.25739057142,0.769
8263.552988107076,0.77
8231.221056802297,0.772
7615.2875095702475,0.773
8019.397640453695,0.774
7991.471710240556,0.776
8168.4351847907565,0.777
7965.218719648437,0.778
8542.77783144726,0.779
8279.886945397651,0.781
8127.69190974228,0.782
8067.302346858502,0.783
8103.7687510826545,0.785
7860.590289693719,0.786
8168.5195865029345,0.787
8069.39841913314,0.788
8040.080583511604,0.79
8211.023214031877,0.791
8311.733825706204,0.792
8194.964853967394,0.793
8189.761415513785,0.794
7860.890429248462,0.796
7987.063924813363,0.797
7327.485351387597,0.798
7977.749226560929,0.799
7799.399276953198,0.799
7814.232659827529,0.8
8023.50569009285,0.801
7819.358541068261,0.802
8039.340247790478,0.803
7580.859609902829,0.804
7287.8122582531,0.805
7656.1232716630875,0.806
7705.539826118642,0.807
7637.7380102073585,0.808
7315.632472257188,0.81
7367.385902574952,0.811
7287.005665941619,0.812
7160.194649800702,0.813
7331.629472430108,0.814
7019.678561826258,0.815
7428.421215478964,0.816
6922.036628906295,0.817
7066.420391527623,0.818
7128.046645804032,0.819
7251.853915795866,0.82
7203.776768960826,0.821
7282.548748902605,0.822
7365.7811829553175,0.823
7648.121793416609,0.824
7137.281403902471,0.825
7026.153444345662,0.826
7165.805651248989,0.827
7246.252029454132,0.828
7054.5193276647915,0.829
7265.321911068913,0.83
7113.329850704322,0.83
6934.600969611503,0.831
6809.208428458409,0.832
7085.81407333734,0.833
7258.287474530967,0.833
6691.124171094591,0.834
6938.951154173763,0.835
7352.494926368516,0.836
7166.1792606534,0.837
7005.054102008551,0.838
7331.4630883098,0.839
7071.594685248288,0.84
7018.4475465363685,0.841
6732.614574170642,0.842
7185.706827624599,0.843
6981.783023964526,0.843
7489.235891359385,0.844
6946.759416172663,0.845
7080.2904878500085,0.846
6580.92398575916,0.847
6568.735912211374,0.848
6585.611992539751,0.849
6962.820892805576,0.85
6433.44515644063,0.851
6657.887772583061,0.852
6891.757486277911,0.852
6858.608521403439,0.853
6822.852751350885,0.854
7015.527475746785,0.855
6632.392679764471,0.856
6812.423562849042,0.857
6437.2014109391785,0.858
6709.476503535392,0.859
6770.107687970303,0.86
6901.904411009917,0.86
7228.198198491715,0.861
6971.47957651455,0.862
6657.945772221217,0.863
7106.71505903545,0.864
6843.925084562321,0.865
6456.558802765605,0.866
6603.142835358707,0.867
6439.296326770731,0.868
6953.176779015135,0.869
7163.842612341345,0.87
7030.198688491975,0.871
6806.271197729879,0.872
7401.045065272032,0.873
7146.629868324228,0.873
6948.844410371454,0.874
7244.580621154695,0.875
7361.1698608023,0.876
6655.73213983608,0.877
6654.385132938733,0.878
6835.850967741517,0.879
6244.773983835945,0.88
7177.466970879617,0.881
7051.279533985329,0.882
7022.763786290037,0.883
6711.514816135452,0.884
6641.391485862361,0.884
6873.267216439526,0.885
6781.237994064224,0.886
7405.9043995687825,0.887
7204.558165528142,0.888
7101.301105947896,0.889
7018.510497596988,0.89
7309.104177092489,0.89
7318.396523475796,0.891
7363.964724204063,0.892
7083.478289550854,0.893
7480.9938232321365,0.894
7511.688019043337,0.895
6978.904692989865,0.896
6590.305683303068,0.896
6753.302850643133,0.897
6893.39714844789,0.898
