#"Potential Energy (kJ/mole)","Speed (ns/day)"
-3171.4317114200494,0.572
-3181.002627476126,0.573
-3429.915661294519,0.575
-3058.506723725739,0.577
-3818.028560043782,0.578
-3342.7558608239706,0.58
-3556.275860350983,0.582
-3720.0661013273675,0.583
-3638.519133965896,0.585
-3797.0437358184718,0.587
-3852.9109609471125,0.588
-3910.2212168303195,0.59
-3805.208783013004,0.591
-3435.2124449473995,0.593
-3551.3783377131767,0.595
-3035.027622099129,0.596
-3356.944286750062,0.598
-3070.6936439001074,0.6
-3422.1893935225344,0.601
-3611.449269870245,0.603
-4015.808669547565,0.604
-3846.806183830722,0.606
-4070.174526063165,0.608
-4019.6918175707106,0.609
-3576.594470877968,0.611
-3420.7986095305896,0.612
-3612.8768555145543,0.614
-3446.9615092401255,0.615
-3839.6294667265865,0.617
-3878.092020306376,0.619
-3509.4460194686108,0.62
-3690.307010134482,0.622
-3578.9058860726327,0.623
-3650.698857187381,0.625
-3634.086956497231,0.626
-3555.674438814429,0.628
-4676.828168839245,0.629
-3829.1418061148506,0.631
-4179.315150364851,0.632
-3804.2330461505226,0.634
-3732.8178597062397,0.635
-3510.6562058374475,0.637
-3352.094086453777,0.638
-3759.8694769936774,0.64
-3981.895353760301,0.641
-3640.2838541904202,0.643
-3802.7296511937784,0.644
-3889.697726960989,0.646
-4039.296595316526,0.647
-3949.75553198098,0.649
-4098.068331938808,0.65
-4128.921231568955,0.652
-4334.048505361399,0.653
-3745.280486841002,0.654
-4329.978373152731,0.656
-4103.999170649273,0.657
-3829.986857373886,0.659
-4227.7783671791585,0.66
-4158.93644745633,0.662
-4430.943502926784,0.663
-4372.43405069815,0.664
-4030.447374126612,0.666
-4517.416520653027,0.667
-4269.225109777271,0.669
-4322.168664520566,0.67
-4826.416292699425,0.671
-4226.08072785259,0.673
-4303.208993370823,0.674
-4506.484907818696,0.675
-4502.695235886495,0.677
-4409.909846119193,0.678
-4155.609164701542,0.679
-4391.816697285787,0.681
-4253.9482264807375,0.682
-4127.525094125453,0.684
-3753.2757140045287,0.685
-3620.661014924961,0.686
-4081.3153968283004,0.688
-4232.498308849143,0.689
-4309.50910320209,0.69
-3798.533034714357,0.692
-3809.113355060359,0.693
-4405.275731505513,0.694
-4122.606146668666,0.696
-4504.701063970049,0.697
-4868.51526014306,0.698
-4473.396428125041,0.7
-4208.141430068921,0.701
-4252.145353627315,0.702
-4244.541468652715,0.704
-4184.518879991781,0.705
-4139.983837853939,0.706
-4470.241357800809,0.708
-4108.788882738496,0.709
-4609.794495752256,0.71
-4402.349663898,0.712
-4442.6781987596005,0.713
-4585.3591417828175,0.714
-4457.887657463401,0.715
-4367.040055003919,0.717
-4695.350157655066,0.718
-4543.127617337312,0.719
-4544.939111892996,0.721
-4428.923082119909,0.722
-4365.19968445582,0.723
-4767.605531889429,0.724
-4293.733684149931,0.726
-4389.420330261961,0.727
-4397.931037705472,0.728
-4127.722060133234,0.73
-4447.907487833283,0.731
-4428.3544454852345,0.732
-4482.125335510751,0.734
-5289.580506266557,0.735
-4986.040914240355,0.736
-4760.302860807562,0.737
-5186.874281464403,0.739
-4679.344051715321,0.74
-4630.778463202092,0.741
-4819.965617781156,0.742
-4959.531148440954,0.744
-4940.270255487492,0.745
-4654.3366072818535,0.746
-4903.528575816352,0.748
-4544.732076970358,0.749
-4274.996320722665,0.75
-4288.600239371557,0.751
-4256.080283332762,0.753
-4849.720356337373,0.754
-4727.757311230689,0.755
-4596.9741912995305,0.756
-5119.972606465188,0.758
-4796.875914741591,0.759
-4913.878730953344,0.76
